disease,feature,n_cohorts,per_cohort_robust,n_fdr_raw,median_smd,meta_k,meta_est,meta_ci_lo,meta_ci_hi,meta_p,meta_fdr,meta_I2,meta_measures,dl_fdr,adhoc_fdr,joint_n,joint_n_fdr,joint_median_d_adj,joint_robust,xcell_resid_robust,sc_hits,sc_cells,sc_families,sc_median_pairs,tcga_hr,tcga_fdr,crc_ext_hr,crc_ext_p,crc_ext_model
HCC,FGFR_AXIS,2,FALSE,0,-0.427812762142732,2,-0.558215245569507,-3.40250939769468,2.28607890655566,0.242792881231899,0.472001393376343,58.087087367652,SMCRPH 1|SMDH 1,0.0358194921368584,0.512913904699689,2,1,-0.6406227106128,FALSE,FALSE,0,,,,1.00572176612026,0.981604145326129,,,
HCC,HGF_MET_AXIS,2,FALSE,0,-0.58689924405474,2,-0.676701112697302,-5.42803493787073,4.07463271247613,0.321384319733022,0.472001393376343,71.871425853069,SMCRPH 1|SMDH 1,0.142585261834858,0.512913904699689,2,0,-0.437959842129901,FALSE,FALSE,0,,,,1.04848169946536,0.80834923332989,,,
HCC,IGF_INSR_AXIS,2,FALSE,1,-0.819117879276161,2,-1.0163101938081,-3.16774924173665,1.13512885412045,0.105098450948527,0.472001393376343,0,SMCRPH 1|SMDH 1,2.74734941684599e-06,0.512913904699689,2,1,-0.965548195691629,FALSE,FALSE,0,,,,0.818914771901118,0.0848005434485004,,,
HCC,JAK_STAT,2,FALSE,0,0.604016919930541,2,0.824473347310614,-5.77837747048855,7.42732416510978,0.358030416897811,0.472001393376343,87.5686194262243,SMCRPH 1|SMDH 1,0.174031504325799,0.512913904699689,2,1,0.862072610998633,FALSE,FALSE,0,,,,0.821293892799183,0.0848005434485004,,,
HCC,PDGFR_KIT_CSF1R,2,FALSE,0,-0.0371065295628991,2,-0.109899227483877,-1.18071735285721,0.960918897889454,0.416471817685008,0.472001393376343,0,SMCRPH 1|SMDH 1,0.623414057080491,0.709423921586372,2,0,-0.157423704889658,FALSE,FALSE,0,,,,0.926316133303187,0.625307847406105,,,
HCC,PI3K_AKT,2,FALSE,0,0.758636792607565,2,0.999382147842966,-10.2770678247809,12.2758321204669,0.462287357645229,0.491180317498055,95.3349500726447,SMCRPH 1|SMDH 1,0.315866436780918,0.559189919208571,2,0,0.487825603894219,FALSE,FALSE,0,,,,0.99651636770607,0.98386928438745,,,
HCC,RAS_MAPK,2,FALSE,1,0.712590257871711,2,0.883465534422435,-0.606307011452559,2.37323808029743,0.0839970752183361,0.472001393376343,0,SMCRPH 1|SMDH 1,2.8141881139137e-05,0.512913904699689,2,0,0.343661080776875,FALSE,FALSE,0,,,,1.44348403003663,0.004106374310041,,,
HCC,RET_ALK_NTRK,2,FALSE,1,-0.952331319618123,2,-1.16964025428325,-7.69349585954758,5.35421535098109,0.263334426754964,0.472001393376343,82.4638523418977,SMCRPH 1|SMDH 1,0.0551854552075768,0.512913904699689,2,0,-0.436395502800091,FALSE,FALSE,0,,,,0.925688366041313,0.625307847406105,,,
HCC,SRC_FAK,2,FALSE,1,-0.756573096624678,2,-0.938613061351047,-5.48001087593407,3.60278475323197,0.231626686800527,0.472001393376343,70.2699559475111,SMCRPH 1|SMDH 1,0.0293647558458705,0.512913904699689,2,0,-0.604147226558297,FALSE,FALSE,0,,,,0.883645136820802,0.318569783556126,,,
HCC,TAM_AXL_AXIS,2,FALSE,0,-0.466368144797463,2,-0.351924756101362,-2.56090687115189,1.85705735894916,0.292103890106546,0.472001393376343,0,SMCRPH 1|SMDH 1,0.168230925022653,0.512913904699689,2,0,-0.511921769102545,FALSE,FALSE,0,,,,1.22913566853438,0.0981278127905013,,,
