"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE75214","IBD","GSM1426149",0.702970224534817,0.0293718920160999,0.109497721648762,0.158160161800322
"GSE75214","IBD","GSM1426150",0.55569605553345,0.017569110416092,0.0964509877212045,0.330283846329254
"GSE75214","IBD","GSM1426151",0.692053776483528,0.017485579298187,0.108252050175452,0.182208594042833
"GSE75214","IBD","GSM1426152",0.548163283990285,0.0370772252883289,0.102830473508669,0.311929017212717
"GSE75214","IBD","GSM1426153",0.638697271875306,0.0191491270266249,0.116029845812845,0.226123755285224
"GSE75214","IBD","GSM1426154",0.609821725888299,0.0131372798665711,0.0985206607570979,0.278520333488032
"GSE75214","IBD","GSM1426155",0.767964697895322,0.00971624872883192,0.0677461209119196,0.154572932463927
"GSE75214","IBD","GSM1426156",0.751116485354708,0.0178966953300953,0.0831550123858356,0.147831806929361
"GSE75214","IBD","GSM1426157",0.740194673146968,0.0237210933642203,0.111606445584466,0.124477787904346
"GSE75214","IBD","GSM1426158",0.141918449990911,0.0989494902051719,0.341764985730462,0.417367074073455
"GSE75214","IBD","GSM1426159",0.574011124092493,0.0185460842116632,0.105303008441895,0.302139783253949
"GSE75214","IBD","GSM1426160",0.503591982308036,0.0346387139099152,0.14470498138753,0.317064322394518
"GSE75214","IBD","GSM1426161",0.687865292638376,0.016056451057981,0.114393203589388,0.181685052714255
"GSE75214","IBD","GSM1426162",0.551062840179007,0.0307875214535256,0.155322127389362,0.262827510978105
"GSE75214","IBD","GSM1426163",0.62570873490606,0.0573874273833535,0.123399968646178,0.193503869064409
"GSE75214","IBD","GSM1426164",0.72345213978046,0.0128032400275147,0.0672028924848742,0.196541727707152
"GSE75214","IBD","GSM1426165",0.771298924193988,0.0080244078537839,0.0864210572039836,0.134255610748244
"GSE75214","IBD","GSM1426166",0.755529172469384,0.00500981788413897,0.0768135635517306,0.162647446094746
"GSE75214","IBD","GSM1426167",0.734824526068219,0.020952820309297,0.077844201987095,0.166378451635388
"GSE75214","IBD","GSM1426168",0.749072673781054,0.0122505496317196,0.0788210649181743,0.159855711669052
"GSE75214","IBD","GSM1426169",0.800099479250163,0.00513635180074329,0.0501580036606958,0.144606165288398
"GSE75214","IBD","GSM1426170",0.729635744674888,0.0131047941257814,0.0922984661641818,0.164960995035149
"GSE75214","IBD","GSM1426171",0.808121719105444,0.0054543208455402,0.0622203067671934,0.124203653281822
"GSE75214","IBD","GSM1426172",0.789638589614153,0.00804395483435672,0.0638235507677365,0.138493904783754
"GSE75214","IBD","GSM1426173",0.797708880176771,0.00612163196870618,0.0578717182548707,0.138297769599652
"GSE75214","IBD","GSM1426174",0.745220126148459,0.00975011674372711,0.0545029354615095,0.190526821646304
