"disease","feature","k","est_REML","se_REML","p_REML_KHNA","ci_lo","ci_hi","I2","tau2","est_DL","p_DL","cohorts","n_case","n_control","fdr"
"IBD","RET_ALK_NTRK",2,-0.142014033762974,0.301807235639035,0.720009793888465,-3.97683856065148,3.69281049312553,62.8476970095653,0.114845000088898,-0.142014033762974,0.637965341419192,"GSE87473;GSE179285",128,52,0.81601109974026
"LUAD","RET_ALK_NTRK",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","RET_ALK_NTRK",1,-0.377758220972341,0.332870465526796,0.25643795449307,-1.03017234492194,0.274655902977261,0,0,-0.377758220972341,0.25643795449307,"GSE33814",31,13,NA
"PAAD","RET_ALK_NTRK",1,0,0.0239045721866879,1,-0.0468521005517462,0.0468521005517462,0,0,0,1,"GSE15471",36,36,NA
"STAD","RET_ALK_NTRK",3,-0.00193215093151651,0.0268082190133885,0.949102689944273,-0.117278607649194,0.113414305786161,0,0,-0.015490133707937,0.673349335530725,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","SRC_FAK",3,0.188409944220088,0.148787990338845,0.332927511450443,-0.451773108565282,0.828592997005458,18.7541190369852,0.0122217505876849,0.187859491661526,0.205373376788069,"GSE4302;GSE43696;GSE67472",192,91,0.435366745742887
"COPD","SRC_FAK",2,-0.279917136753722,0.00082832547930088,0.00188386765088568,-0.290442009881909,-0.269392263625535,0,0,-0.279917136753722,0.0100445607645627,"GSE76925;GSE47460",256,131,0.0282580147632852
"CRC","SRC_FAK",3,-0.321494803172409,0.222763657015137,0.285754374536964,-1.27996946011756,0.636979853772745,87.853774903584,0.136894045748696,-0.326449978323612,0.226025231314581,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","SRC_FAK",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","SRC_FAK",2,-0.413738294822285,0.508059052853064,0.564914707836288,-6.86924063844033,6.04176404879575,79.6443096360656,0.428747822232849,-0.413738294822283,0.415444016917138,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","SRC_FAK",3,0.453684308366676,0.00632210438754626,0.000194128513955353,0.426482488665839,0.480886128067513,0,0,0.453684308366676,0.00185631646187878,"GSE75214;GSE87473;GSE179285",202,75,0.00330018473724101
"LUAD","SRC_FAK",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","SRC_FAK",2,-0.0841571355912803,0.146036433691209,0.667180342421359,-1.93972596101258,1.77141168983002,0,0,-0.0841571355912803,0.672152754835081,"GSE33814;GSE66676",62,47,0.930197205970223
