"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"ERBB_LIGANDS",0.0955931087614675,-0.120724415560876,0.311910633083811,0.385141245240682,0.503646243776276,0.201934215209841,"GSE179285","IBD","validation"
"ERBB_RECEPTORS",-0.573329925455631,-0.803060734994503,-0.343599115916758,1.54217125774161e-06,8.73897046053581e-06,-1.19400827759638,"GSE179285","IBD","validation"
"FGFR_AXIS",-0.079762838500674,-0.23867986960735,0.0791541926060024,0.324043772095013,0.483721862521227,-0.0299528588122807,"GSE179285","IBD","validation"
"HGF_MET_AXIS",0.604866978314997,0.354490091998048,0.855243864631946,3.15482364206421e-06,1.34080004787729e-05,1.22712495174091,"GSE179285","IBD","validation"
"IGF_INSR_AXIS",-0.227890316787579,-0.436150832089276,-0.0196298014858827,0.0320946144703345,0.0625508630060574,-0.371315357765053,"GSE179285","IBD","validation"
"JAK_STAT",0.555375741360656,0.379645762388581,0.73110572033273,1.82685547717133e-09,3.10565431119126e-08,1.35759154506285,"GSE179285","IBD","validation"
"PDGFR_KIT_CSF1R",0.515772901526265,0.284115211322939,0.74743059172959,1.64828914741679e-05,5.6041831012171e-05,0.917278008025534,"GSE179285","IBD","validation"
"PI3K_AKT",-0.103032393812571,-0.315849920295294,0.109785132670152,0.341450726485572,0.483721862521227,-0.0552311869002492,"GSE179285","IBD","validation"
"RAS_MAPK",0.0591881730517922,-0.134840352359861,0.253216698463445,0.54871307953359,0.666294453719359,0.0740114049690514,"GSE179285","IBD","validation"
"RET_ALK_NTRK",0.00929552174965279,-0.151967549104172,0.170558592603477,0.909736206939477,0.98197234446635,0.176995265024029,"GSE179285","IBD","validation"
"SRC_FAK",0.160658070310003,-0.015496187316148,0.336812327936155,0.0736856855335873,0.125265665407098,0.462230126604971,"GSE179285","IBD","validation"
"TAM_AXL_AXIS",0.252563004792833,0.0248378212188809,0.480288188366785,0.0298558472296495,0.0625508630060574,0.373426302834139,"GSE179285","IBD","validation"
"TGFB_SMAD",0.237511355441143,0.0191697772708232,0.455852933611464,0.0331151627679127,0.0625508630060574,0.680775099362342,"GSE179285","IBD","validation"
