"accession","disease","module","smd_full"
"GSE57957","HCC","TIE_ANGPT_AXIS",0.491899863283972
"GSE57957","HCC","VEGF_PDGF_AXIS",0.758635834027357
"GSE57957","HCC","WNT_CTNNB1",0.265803567513623
"GSE62232","HCC","EPH_RECEPTORS",-0.333066850802708
"GSE62232","HCC","ERBB_LIGANDS",-1.26808970802827
"GSE62232","HCC","ERBB_RECEPTORS",-0.818509114138695
"GSE62232","HCC","FGFR_AXIS",-0.721219131794502
"GSE62232","HCC","HGF_MET_AXIS",-0.849280792024812
"GSE62232","HCC","IGF_INSR_AXIS",-1.20324117021472
"GSE62232","HCC","JAK_STAT",0.538732125586257
"GSE62232","HCC","PDGFR_KIT_CSF1R",-0.267395569509196
"GSE62232","HCC","PI3K_AKT",1.18027753217938
"GSE62232","HCC","RAS_MAPK",0.620224541606983
"GSE62232","HCC","RET_ALK_NTRK",-2.10957414268198
"GSE62232","HCC","SRC_FAK",-1.50981466485773
"GSE62232","HCC","TAM_AXL_AXIS",-1.01204195089588
"GSE62232","HCC","TGFB_SMAD",1.3845727888066
"GSE62232","HCC","TIE_ANGPT_AXIS",0.0114174294942034
"GSE62232","HCC","VEGF_PDGF_AXIS",0.0768011218695358
"GSE62232","HCC","WNT_CTNNB1",0.177159543934026
"GSE23400","ESCC","EPH_RECEPTORS",-0.270270867227772
"GSE23400","ESCC","ERBB_LIGANDS",-0.466679600700712
"GSE23400","ESCC","ERBB_RECEPTORS",-0.729977315216775
"GSE23400","ESCC","FGFR_AXIS",-0.635399736518873
"GSE23400","ESCC","HGF_MET_AXIS",0.564458804365852
"GSE23400","ESCC","IGF_INSR_AXIS",0.480058083920766
"GSE23400","ESCC","JAK_STAT",-0.0229289848896284
"GSE23400","ESCC","PDGFR_KIT_CSF1R",-0.333025951835343
"GSE23400","ESCC","PI3K_AKT",0.387187209107174
"GSE23400","ESCC","RAS_MAPK",-0.178006948630626
"GSE23400","ESCC","RET_ALK_NTRK",-0.45441372060606
"GSE23400","ESCC","SRC_FAK",1.10178495981559
"GSE23400","ESCC","TAM_AXL_AXIS",-0.587276011487838
"GSE23400","ESCC","TGFB_SMAD",0.753061779593791
"GSE23400","ESCC","TIE_ANGPT_AXIS",-0.0141831666172287
"GSE23400","ESCC","VEGF_PDGF_AXIS",0.495596066796427
"GSE23400","ESCC","WNT_CTNNB1",0.549570300605374
"GSE20347","ESCC","EPH_RECEPTORS",-0.595730906554602
"GSE20347","ESCC","ERBB_LIGANDS",-0.508339080252989
"GSE20347","ESCC","ERBB_RECEPTORS",-0.634767064013821
"GSE20347","ESCC","FGFR_AXIS",0.38435344583383
"GSE20347","ESCC","HGF_MET_AXIS",0.29301006763988
"GSE20347","ESCC","IGF_INSR_AXIS",0.837747725823518
"GSE20347","ESCC","JAK_STAT",-0.365698790105942
"GSE20347","ESCC","PDGFR_KIT_CSF1R",-0.185753476271513
"GSE20347","ESCC","PI3K_AKT",0.184149034457195
"GSE20347","ESCC","RAS_MAPK",-1.04676796630646
"GSE20347","ESCC","RET_ALK_NTRK",0.0984968742512973
"GSE20347","ESCC","SRC_FAK",1.62561228348974
"GSE20347","ESCC","TAM_AXL_AXIS",-0.557449998552663
"GSE20347","ESCC","TGFB_SMAD",0.139151657037897
"GSE20347","ESCC","TIE_ANGPT_AXIS",0.380152895176884
"GSE20347","ESCC","VEGF_PDGF_AXIS",1.29394562944599
"GSE20347","ESCC","WNT_CTNNB1",0.508181481156123
"GSE76925","COPD","EPH_RECEPTORS",0.585403139344014
"GSE76925","COPD","ERBB_LIGANDS",-0.0237985927738887
"GSE76925","COPD","ERBB_RECEPTORS",0.252963508691212
"GSE76925","COPD","FGFR_AXIS",-0.314710796287398
"GSE76925","COPD","HGF_MET_AXIS",-0.462916742212383
"GSE76925","COPD","IGF_INSR_AXIS",-0.416088850387363
"GSE76925","COPD","JAK_STAT",0.466398331070635
"GSE76925","COPD","PDGFR_KIT_CSF1R",0.451745047248757
"GSE76925","COPD","PI3K_AKT",0.395712122061063
"GSE76925","COPD","RAS_MAPK",0.285514154679596
"GSE76925","COPD","RET_ALK_NTRK",0.698853879613432
"GSE76925","COPD","SRC_FAK",0.0555263895468606
"GSE76925","COPD","TAM_AXL_AXIS",0.315801411765227
"GSE76925","COPD","TGFB_SMAD",0.175181866822888
"GSE76925","COPD","TIE_ANGPT_AXIS",0.132834887755663
"GSE76925","COPD","VEGF_PDGF_AXIS",-0.101492434736802
"GSE76925","COPD","WNT_CTNNB1",-0.498748133456551
"GSE47460","COPD","EPH_RECEPTORS",-0.275393074672465
"GSE47460","COPD","ERBB_LIGANDS",-0.0672224907560092
"GSE47460","COPD","ERBB_RECEPTORS",-0.599693147384191
"GSE47460","COPD","FGFR_AXIS",-0.0188847566226573
"GSE47460","COPD","IGF_INSR_AXIS",0.129432995662756
"GSE47460","COPD","JAK_STAT",0.201077745278462
"GSE47460","COPD","PDGFR_KIT_CSF1R",0.648865646188732
"GSE47460","COPD","PI3K_AKT",0.00845546172826308
"GSE47460","COPD","RAS_MAPK",-0.349236350003146
"GSE47460","COPD","RET_ALK_NTRK",0.699043958861911
"GSE47460","COPD","SRC_FAK",-0.246729192345022
"GSE47460","COPD","TGFB_SMAD",-0.166568028578111
"GSE47460","COPD","TIE_ANGPT_AXIS",0.190929267462554
"GSE47460","COPD","VEGF_PDGF_AXIS",-0.404601278817296
"GSE47460","COPD","WNT_CTNNB1",-0.427987184916815
"GSE33814","NAFLD","EPH_RECEPTORS",0.51368984927268
"GSE33814","NAFLD","ERBB_LIGANDS",0.464192245187161
"GSE33814","NAFLD","ERBB_RECEPTORS",0.148832239461572
"GSE33814","NAFLD","FGFR_AXIS",0.205887233350545
"GSE33814","NAFLD","HGF_MET_AXIS",-0.236599089640247
"GSE33814","NAFLD","IGF_INSR_AXIS",-1.57120411875476
"GSE33814","NAFLD","JAK_STAT",0.290394151651292
"GSE33814","NAFLD","PDGFR_KIT_CSF1R",0.416640888147666
"GSE33814","NAFLD","PI3K_AKT",-0.402028831228968
"GSE33814","NAFLD","RAS_MAPK",0.862589520901478
"GSE33814","NAFLD","RET_ALK_NTRK",-0.217335866344857
"GSE33814","NAFLD","SRC_FAK",-0.0969605369297986
"GSE33814","NAFLD","TAM_AXL_AXIS",-0.334070828204497
"GSE33814","NAFLD","TGFB_SMAD",-0.748734402291733
"GSE33814","NAFLD","TIE_ANGPT_AXIS",-0.226446321824788
"GSE33814","NAFLD","VEGF_PDGF_AXIS",0.53451909597533
"GSE33814","NAFLD","WNT_CTNNB1",0.153533688881077
"GSE66676","NAFLD","EPH_RECEPTORS",-0.706253027784397
"GSE66676","NAFLD","ERBB_LIGANDS",-0.131139830572728
"GSE66676","NAFLD","ERBB_RECEPTORS",-0.462272787082562
"GSE66676","NAFLD","FGFR_AXIS",-0.455952846385986
"GSE66676","NAFLD","HGF_MET_AXIS",-0.119138034424703
"GSE66676","NAFLD","IGF_INSR_AXIS",-0.367361371679534
"GSE66676","NAFLD","JAK_STAT",-0.434327625165531
"GSE66676","NAFLD","PDGFR_KIT_CSF1R",-0.194836387306443
"GSE66676","NAFLD","PI3K_AKT",-0.237873284165575
"GSE66676","NAFLD","RAS_MAPK",0.0213342633794654
"GSE66676","NAFLD","SRC_FAK",-0.212195409414996
"GSE66676","NAFLD","TAM_AXL_AXIS",-0.500417549511235
"GSE66676","NAFLD","TGFB_SMAD",-0.293082366076379
"GSE66676","NAFLD","TIE_ANGPT_AXIS",0.428370195121262
"GSE66676","NAFLD","VEGF_PDGF_AXIS",-0.339812323101356
"GSE66676","NAFLD","WNT_CTNNB1",-0.0177795005380297
