context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
IBD,WNT_CTNNB1,colon epithelial cell,False,12,6,0,0.3600605955248554,0.2555258568135502,,0.03199741435035553,mannwhitneyu,0.16638655462184876,0.15998707175177765
IBD,WNT_CTNNB1,myeloid cell,False,12,6,0,0.30557251950939385,0.29196390685418244,,0.9635854341736694,mannwhitneyu,0.993851825734401,0.9635854341736694
IBD,WNT_CTNNB1,plasma cell,False,12,6,0,0.14961306570550867,0.1461108653212826,,0.3845076492135316,mannwhitneyu,0.6948940611206676,0.6168255790180401
IBD,WNT_CTNNB1,stromal cell of lamina propria of colon,False,12,6,0,0.562214297246561,0.6387362552964798,,0.49364361129067014,mannwhitneyu,0.7699554267970995,0.6856161267925974
STAD,VEGF_PDGF_AXIS,BEST4+ enterocyte,False,5,7,0,0.0074575372040271756,0.03945748462821498,,0.14740688856687892,mannwhitneyu,0.39667681049686,0.5085600134575129
STAD,VEGF_PDGF_AXIS,enterocyte,False,19,22,0,0.056900153907684305,0.07511136243744138,,0.20880935037885517,mannwhitneyu,0.5026891768379846,0.6512585266005742
STAD,VEGF_PDGF_AXIS,enteroendocrine cell,False,23,27,0,0.03611567126756561,0.044055987182476004,,0.46962822377113955,mannwhitneyu,0.7631458636281018,0.8356664732887156
STAD,VEGF_PDGF_AXIS,epithelial cell,False,28,34,0,0.03457097898713744,0.04445106473858726,,0.1510837576857439,mannwhitneyu,0.39667681049686,0.5085600134575129
STAD,VEGF_PDGF_AXIS,foveolar cell of stomach,False,28,34,0,0.03797256084030493,0.051639742765084734,,0.06490412436321892,mannwhitneyu,0.25764016544117646,0.3954684003685565
STAD,VEGF_PDGF_AXIS,intestine goblet cell,False,22,21,0,0.053526069461348906,0.04692090965535217,,0.534248116584068,mannwhitneyu,0.7759760109109503,0.8356664732887156
STAD,VEGF_PDGF_AXIS,mucous neck cell of gastric gland,False,27,34,0,0.046847933856332395,0.05352842280870649,,0.31289989641209204,mannwhitneyu,0.6257997928241841,0.7509597513890208
STAD,VEGF_PDGF_AXIS,parietal cell,False,19,31,0,0.04255519222275216,0.0802035457337441,,0.0017952038621431468,mannwhitneyu,0.029172062759826135,0.0538561158642944
STAD,VEGF_PDGF_AXIS,peptic cell,False,19,26,0,0.03289469061761822,0.046455954771054284,,0.21708617553352472,mannwhitneyu,0.5078125,0.6512585266005742
