context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,n_pairs,median_diff,mean_a,mean_b,p_paired,p_unpaired,test_used,p_used,fdr
CRC,WNT_CTNNB1,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.698496942166918,0.5177857900836617,nan,0.002512724684929381,mann-whitney (cell-identity; unpaired),0.002512724684929381,0.0033502995799058414
CRC,WNT_CTNNB1,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.698496942166918,0.3991098803159891,nan,8.78008568536683e-06,mann-whitney (cell-identity; unpaired),8.78008568536683e-06,1.756017137073366e-05
IBD,ERBB_RECEPTORS,T cell of anorectum,case-vs-healthy,12,6,0,0,nan,0.00329783645590739,0.006038256279725045,nan,0.03199741435035553,mann-whitney (donor-disjoint),0.03199741435035553,0.053329023917259216
IBD,ERBB_RECEPTORS,colon epithelial cell,case-vs-healthy,12,6,0,0,nan,0.3278032843273777,0.3431888293122021,nan,0.7502693385046326,mann-whitney (donor-disjoint),0.7502693385046326,0.7502693385046326
IBD,ERBB_RECEPTORS,myeloid cell,case-vs-healthy,12,6,0,0,nan,0.0019198893646824216,0.00617200565269766,nan,0.012142718755417867,mann-whitney (donor-disjoint),0.012142718755417867,0.030356796888544667
IBD,ERBB_RECEPTORS,plasma cell,case-vs-healthy,12,6,0,0,nan,0.004093149435151982,0.0055046014493447355,nan,0.3845076492135316,mann-whitney (donor-disjoint),0.3845076492135316,0.48063456151691447
IBD,ERBB_RECEPTORS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,0,nan,0.09980030223383858,0.19732884581661184,nan,0.001292824822236587,mann-whitney (donor-disjoint),0.001292824822236587,0.006464124111182934
IBD,ERBB_LIGANDS,T cell of anorectum,case-vs-healthy,12,6,0,0,nan,0.06302440905933177,0.07029357888173796,nan,0.8916181857358327,mann-whitney (donor-disjoint),0.8916181857358327,0.8916181857358328
IBD,ERBB_LIGANDS,colon epithelial cell,case-vs-healthy,12,6,0,0,nan,0.24871867433489558,0.22300390684155627,nan,0.5532212885154062,mann-whitney (donor-disjoint),0.5532212885154062,0.6915266106442577
IBD,ERBB_LIGANDS,myeloid cell,case-vs-healthy,12,6,0,0,nan,0.44838753233062256,0.18571362419539175,nan,0.0020469726352079294,mann-whitney (donor-disjoint),0.0020469726352079294,0.010234863176039647
IBD,ERBB_LIGANDS,plasma cell,case-vs-healthy,12,6,0,0,nan,0.05537145226120229,0.07041958872969974,nan,0.24962292609351436,mann-whitney (donor-disjoint),0.24962292609351436,0.4160382101558573
IBD,ERBB_LIGANDS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,0,nan,0.1293520320917164,0.0845025292869299,nan,0.06679594914889034,mann-whitney (donor-disjoint),0.06679594914889034,0.16698987287222583
IBD,VEGF_PDGF_AXIS,T cell of anorectum,case-vs-healthy,12,6,0,0,nan,0.016991134419332754,0.01401481873063045,nan,0.33548804137039434,mann-whitney (donor-disjoint),0.33548804137039434,0.559146735617324
IBD,VEGF_PDGF_AXIS,colon epithelial cell,case-vs-healthy,12,6,0,0,nan,0.1316665396561579,0.13196725794226288,nan,0.8916181857358327,mann-whitney (donor-disjoint),0.8916181857358327,0.9635854341736694
IBD,VEGF_PDGF_AXIS,myeloid cell,case-vs-healthy,12,6,0,0,nan,0.17275016298132473,0.15894769807733752,nan,0.9635854341736694,mann-whitney (donor-disjoint),0.9635854341736694,0.9635854341736694
IBD,VEGF_PDGF_AXIS,plasma cell,case-vs-healthy,12,6,0,0,nan,0.03432289949223232,0.02806351684014904,nan,0.1797026502908856,mann-whitney (donor-disjoint),0.1797026502908856,0.44925662572721403
