context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
STAD,ERBB_RECEPTORS,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),1.0,1.0,1.0
STAD,ERBB_RECEPTORS,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.8648498717148603,1.0,0.9457351115155306
STAD,ERBB_LIGANDS,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.8918354527466616,0.8918354527466616,0.9479649567656824
STAD,ERBB_LIGANDS,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.6911146585645924,0.8638933232057405,0.8403954248145444
STAD,ERBB_LIGANDS,epithelial cell,tumour-vs-adjacent,26,31,2,-0.016520854683069942,not testable,nan,nan,nan
STAD,ERBB_LIGANDS,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,-0.03131370456556024,not testable,nan,nan,nan
STAD,ERBB_LIGANDS,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.1826551205854452,0.8415187001956118,0.38032299080805027
STAD,ERBB_LIGANDS,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.07109305651862022,not testable,nan,nan,nan
STAD,ERBB_LIGANDS,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.3630419923326102,0.8415187001956118,0.5630855391281301
STAD,ERBB_LIGANDS,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.5049112201173671,0.8415187001956118,0.6914099590796379
STAD,VEGF_PDGF_AXIS,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.2648277100467564,0.9138458795209367,0.4735742579659645
STAD,VEGF_PDGF_AXIS,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.7061030154647306,0.9138458795209367,0.8518068123066592
STAD,VEGF_PDGF_AXIS,epithelial cell,tumour-vs-adjacent,26,31,2,-0.013261597852916064,not testable,nan,nan,nan
STAD,VEGF_PDGF_AXIS,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,-0.01644772021388845,not testable,nan,nan,nan
STAD,VEGF_PDGF_AXIS,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.6053433393365069,0.9138458795209367,0.7672486515015459
STAD,VEGF_PDGF_AXIS,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.019122069190158453,not testable,nan,nan,nan
STAD,VEGF_PDGF_AXIS,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.9138458795209368,0.9138458795209367,0.9646150950498777
STAD,VEGF_PDGF_AXIS,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.759170653907496,0.9138458795209367,0.8944970183925209
STAD,HGF_MET_AXIS,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.9783030753359442,0.9783030753359443,0.997287545743774
STAD,HGF_MET_AXIS,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.34994277302101806,0.8748569325525452,0.5483639329813891
