"accession","module","n_members","n_present","coverage","missing"
"GSE67472","HGF_MET_AXIS",3,3,1,""
"GSE67472","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE67472","JAK_STAT",9,9,1,""
"GSE67472","PDGFR_KIT_CSF1R",5,5,1,""
"GSE67472","PI3K_AKT",9,9,1,""
"GSE67472","RAS_MAPK",12,12,1,""
"GSE67472","RET_ALK_NTRK",6,6,1,""
"GSE67472","SRC_FAK",5,5,1,""
"GSE67472","TAM_AXL_AXIS",3,3,1,""
"GSE67472","TGFB_SMAD",5,5,1,""
"GSE67472","TIE_ANGPT_AXIS",3,3,1,""
"GSE67472","VEGF_PDGF_AXIS",9,9,1,""
"GSE67472","WNT_CTNNB1",4,4,1,""
"GSE75214","EPH_RECEPTORS",4,4,1,""
"GSE75214","ERBB_LIGANDS",6,6,1,""
"GSE75214","ERBB_RECEPTORS",4,4,1,""
"GSE75214","FGFR_AXIS",8,8,1,""
"GSE75214","HGF_MET_AXIS",3,3,1,""
"GSE75214","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE75214","JAK_STAT",9,9,1,""
"GSE75214","PDGFR_KIT_CSF1R",5,4,0.8,"PDGFRB"
"GSE75214","PI3K_AKT",9,9,1,""
"GSE75214","RAS_MAPK",12,10,0.833,"BRAF;RAF1"
"GSE75214","RET_ALK_NTRK",6,2,0.333,"RET;ALK;ROS1;NTRK1"
"GSE75214","SRC_FAK",5,5,1,""
"GSE75214","TAM_AXL_AXIS",3,3,1,""
"GSE75214","TGFB_SMAD",5,5,1,""
"GSE75214","TIE_ANGPT_AXIS",3,3,1,""
"GSE75214","VEGF_PDGF_AXIS",9,9,1,""
"GSE75214","WNT_CTNNB1",4,4,1,""
"GSE87473","EPH_RECEPTORS",4,4,1,""
"GSE87473","ERBB_LIGANDS",6,6,1,""
"GSE87473","ERBB_RECEPTORS",4,4,1,""
"GSE87473","FGFR_AXIS",8,8,1,""
"GSE87473","HGF_MET_AXIS",3,3,1,""
"GSE87473","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE87473","JAK_STAT",9,9,1,""
"GSE87473","PDGFR_KIT_CSF1R",5,5,1,""
"GSE87473","PI3K_AKT",9,9,1,""
"GSE87473","RAS_MAPK",12,12,1,""
"GSE87473","RET_ALK_NTRK",6,6,1,""
"GSE87473","SRC_FAK",5,5,1,""
"GSE87473","TAM_AXL_AXIS",3,3,1,""
"GSE87473","TGFB_SMAD",5,5,1,""
"GSE87473","TIE_ANGPT_AXIS",3,3,1,""
"GSE87473","VEGF_PDGF_AXIS",9,9,1,""
"GSE87473","WNT_CTNNB1",4,4,1,""
