accession,disease,feature,paired,patient_ids_available,n_both_arm_patients,n_case,n_control,npair,r_emp,measure,yi,vi,mean_case,sd_case,mean_ctrl,sd_ctrl,beta_base,se_base,p_base,not_estimable_reason
GSE23400,ESCC,HGF_MET_AXIS,TRUE,TRUE,53,53,53,53,0.230100613923578,SMCRPH,0.875425022804905,0.0336893679249151,0.156580500896269,0.398943812013273,-0.170454323794521,0.340178875452505,0.32703482469079,0.0633086010112826,3.84680612140069e-06,
GSE23400,ESCC,IGF_INSR_AXIS,TRUE,TRUE,53,53,53,53,0.128671303726718,SMCRPH,0.622061394803744,0.0354045619144333,0.147212680542711,0.495904369488016,-0.161547998605219,0.489478058742353,0.308760679147929,0.0893418317689357,0.00110054078481679,
GSE23400,ESCC,JAK_STAT,TRUE,TRUE,53,53,53,53,0.17059889293825,SMCRPH,0.128575072704812,0.0319911851778157,0.0116044398480321,0.350471304396976,-0.0326432504328477,0.332445956854394,0.0442476902808787,0.0604381097625875,0.467384946674927,
GSE23400,ESCC,PDGFR_KIT_CSF1R,TRUE,TRUE,53,53,53,53,0.356940510635785,SMCRPH,-0.19394079629238,0.0249977755729763,-0.0411607684874801,0.501623289420277,0.0526593080427769,0.456958067940118,-0.0938200765302574,0.0748331748397183,0.215550045103284,
GSE23400,ESCC,PI3K_AKT,TRUE,TRUE,53,53,53,53,-0.0225205243961984,SMCRPH,0.718780437206515,0.0418665758007218,0.0779966258201527,0.271153841424866,-0.104123169374701,0.230261562834244,0.182119795194853,0.0494034201324696,0.000543670734018613,
GSE23400,ESCC,RAS_MAPK,TRUE,TRUE,53,53,53,53,0.12113683273405,SMCRPH,-0.0869163276236391,0.0339081684019005,-0.00934306150808157,0.298127675118645,0.0193102223929843,0.353977053629881,-0.0286532839010655,0.0596550839205664,0.633017307657987,
GSE23400,ESCC,RET_ALK_NTRK,TRUE,TRUE,53,53,53,53,0.245051834519812,SMCRPH,-0.74000161756139,0.0318273455605258,-0.112575565276405,0.381572631428305,0.171500246856185,0.380310307913912,-0.284075812132589,0.0642976153345061,5.07539738485521e-05,
GSE23400,ESCC,SRC_FAK,TRUE,TRUE,53,53,53,53,0.107013575500017,SMCRPH,1.25669249769995,0.0420464988502035,0.178768920377373,0.311673759077892,-0.225434806701816,0.326725138784373,0.404203727079188,0.0586153289905485,7.25363127578942e-09,
GSE23400,ESCC,TAM_AXL_AXIS,TRUE,TRUE,53,53,53,53,0.239252518212089,SMCRPH,-0.59550053132205,0.0310644014326972,-0.0916638944927409,0.43973908095014,0.169671443639517,0.431207107052102,-0.261335338132258,0.073789164883741,0.000848867097854659,
GSE23400,ESCC,TGFB_SMAD,TRUE,TRUE,53,53,53,53,0.286773698739454,SMCRPH,0.825417761738323,0.0309769778576735,0.1233475920438,0.369293089861671,-0.183020440389555,0.367227219231218,0.306368032433355,0.0604155246621019,5.36949005665168e-06,
GSE23400,ESCC,TIE_ANGPT_AXIS,TRUE,TRUE,53,53,53,53,0.43016391097539,SMCRPH,0.183540211370304,0.0226839101250626,0.0374116556025394,0.453262844159585,-0.0600939517825406,0.59107204535449,0.0975056073850789,0.0782258564480202,0.218180560377199,
GSE23400,ESCC,VEGF_PDGF_AXIS,TRUE,TRUE,53,53,53,53,0.0448131591464082,SMCRPH,0.873115084113408,0.0404267328708644,0.131673222674297,0.350076763401695,-0.185919393303609,0.371817378774628,0.317592615977907,0.0685614622159934,2.45742586240368e-05,
